sessions,deposits,feature_used,churn_probability,actual_churn
9,111.65,1,0.457132216379636,0
4,137.05,0,0.5374002216087129,0
10,46.11,1,0.4565749118626806,1
13,151.63,1,0.42685994095084817,0
4,91.62,1,0.49257673115676764,1
6,132.3,1,0.4753005197712833,0
6,13.81,0,0.5355489473531801,0
6,63.14,0,0.530924623348535,1
2,103.01,1,0.5049689295738798,0
3,239.61,1,0.4853784005594375,1
8,43.8,1,0.47018354045688693,0
4,16.27,0,0.5486880098512666,1
3,99.5,0,0.5475940526721036,1
9,96.87,1,0.458513988547527,1
3,370.32,1,0.4730926778254731,0
6,235.3,0,0.5147493871238804,1
9,132.27,1,0.45520557272774465,0
5,40.25,0,0.5397679693432423,1
7,100.51,0,0.5207008789427533,0
4,143.86,0,0.5367625231325756,1
2,80.85,1,0.5070551967267213,0
5,36.32,0,0.5401356530950819,1
5,82.8,0,0.5357843790375001,1
6,96.18,0,0.5278243450669063,1
7,83.43,0,0.5223061451476337,0
6,87.22,1,0.4795365411321545,1
4,420.31,1,0.46170210072332707,0
13,121.46,1,0.4296422250334969,0
9,31.21,1,0.46465992306023984,0
5,198.66,1,0.4757836359452392,1
7,46.44,1,0.47664923073786786,0
5,114.89,1,0.4836582280599306,1
4,81.03,1,0.4935736873950043,0
4,65.3,1,0.4950546218243385,0
2,186.03,0,0.5461915791794225,0
5,110.91,1,0.48403259117444314,0
5,104.87,1,0.4846007542198762,0
12,120.94,1,0.4363018987655818,1
3,232.63,1,0.486035095853439,0
4,65.13,1,0.4950706273580497,1
5,87.51,1,0.48623396917744843,0
5,15.68,0,0.5420659681198097,1
9,96.56,0,0.5076186759682089,0
8,18.58,1,0.47255044794350937,0
8,67.54,1,0.4679567543483865,1
3,18.11,1,0.5062302106307675,0
4,52.54,1,0.49625600421556293,0
7,52.7,0,0.5251931264798769,0
5,52.39,1,0.48953889354435076,0
4,135.37,0,0.5375575205618165,0
3,111.7,0,0.5464554697556698,1
4,183.26,1,0.48395293318230975,1
6,206.87,1,0.46830150432805023,1
5,28.11,1,0.491824285236655,0
10,62.37,0,0.5041057911731893,1
5,112.07,1,0.4839234784478238,0
11,62.5,1,0.4483739115864891,0
8,9.94,0,0.5224928510950924,1
4,240.11,1,0.478607527055675,0
5,81.98,1,0.4867542905794463,0
2,73.93,1,0.5077066375555043,0
5,83.1,0,0.5357562757977069,0
7,201.13,0,0.5112365099617545,1
6,94.02,1,0.478897363681004,1
5,51.53,1,0.4896198354377668,1
6,27.29,0,0.534285869698307,0
4,157.74,1,0.48635375726212415,0
6,126.98,0,0.5249323161154106,1
4,96.71,0,0.5411751409125615,1
8,240.5,1,0.4517773292623167,0
5,82.62,0,0.5358012408723024,0
6,177.27,0,0.5202067247181941,1
11,86.35,0,0.495115405518946,1
13,81.03,1,0.43337763939394497,0
8,68.93,1,0.46782641254064217,0
10,70.05,1,0.4543386302189066,0
5,40.34,1,0.4906730693050614,1
5,326.17,1,0.46382174743355553,0
4,200.25,0,0.5314776516095968,0
8,138.09,0,0.5104400004566092,0
5,130.57,0,0.5313066624711256,0
5,409.3,0,0.5051024497386201,1
4,80.1,0,0.5427281168290101,1
9,44.95,0,0.5124762409583846,0
5,177.91,0,0.5268642707115649,0
4,108.32,1,0.4910046946977203,0
10,252.89,0,0.48617016690191284,1
7,120.25,1,0.469719429597066,1
8,18.43,1,0.47256452930411375,0
5,208.67,1,0.47484339844218676,1
6,236.35,0,0.5146506052322908,0
5,108.96,0,0.5333329419432893,1
6,110.05,1,0.47739087396245994,1
7,233.17,1,0.45914116609420674,1
5,62.13,1,0.4886222188467466,1
6,68.92,1,0.4812570073913282,1
5,200.67,0,0.5247269106198199,0
1,83.51,0,0.5623828261798114,0
5,116.39,0,0.532636382509783,1
7,89.5,1,0.4726051909784106,1
1,79.67,0,0.5627387376255703,1
3,70.02,1,0.5013427164632708,0
6,62.89,1,0.4818240144988853,1
6,66.08,0,0.5306488443168276,1
2,88.91,1,0.5062964075607834,0
7,83.83,1,0.47313750293488305,1
7,129.74,1,0.4688292316902693,0
3,79.45,1,0.5004547966134986,1
7,61.25,1,0.4752579565962778,1
13,153.48,1,0.42668948219133973,0
13,117.01,1,0.4300529858697196,1
3,183.83,0,0.5397142896828433,0
5,103.44,1,0.4847352755256411,0
7,115.46,0,0.5192954490255316,1
7,228.43,1,0.45958453338260774,0
7,90.12,0,0.5216774376073606,0
2,153.55,0,0.5492220241454054,1
2,39.98,0,0.5597882123086675,0
7,112.43,1,0.47045312026310093,0
7,37.19,1,0.47751837520457385,0
3,22.33,0,0.5547840416298891,0
5,42.36,0,0.539570543642105,0
8,91.38,0,0.5148353469439128,1
7,115.48,1,0.47016694677394116,0
3,162.67,1,0.49261938928010496,0
6,146.03,1,0.47401103384615384,0
6,182.69,1,0.4705697665000235,0
2,60.48,1,0.5089727282109265,0
10,125.26,0,0.4981842080448811,0
4,112.8,1,0.4905830037081543,0
8,80.7,0,0.5158400225125201,0
4,44.42,1,0.4970205436685737,1
7,42.78,1,0.47699311344778983,0
3,147.48,1,0.49404941509382466,1
7,105.41,1,0.4711118619321982,0
9,121.67,1,0.45619582710315687,1
3,37.85,1,0.5043717155334846,0
7,113.46,1,0.4703564758865427,0
7,40.02,0,0.5263838907379403,0
8,64.11,1,0.46827840784216446,0
3,169.46,1,0.4919801988125366,0
5,65.39,1,0.48831542254138816,1
7,128.1,0,0.5181069400089392,1
7,79.49,1,0.4735449929233867,0
3,15.82,1,0.5064458009604007,1
7,29.46,0,0.5273753398114764,0
4,105.16,1,0.4913021451838649,0
3,77.71,1,0.5006186337442011,0
4,67.01,1,0.4948936255545169,0
6,129.87,1,0.47552877385957615,0
6,76.52,0,0.5296693972364376,1
3,52.74,1,0.5029697588519014,1
6,93.46,0,0.5280796581537843,0
5,104.65,0,0.5337369432885196,0
8,75.97,0,0.5162849367181109,1
