user_id,group,sessions,deposits,feature_used,churn
1,control,2,176.25,1,1
2,treatment,7,119.93,1,1
3,control,4,85.04,0,1
4,treatment,5,279.48,0,0
5,treatment,5,57.19,1,0
6,control,7,116.9,1,1
7,control,6,58.16,0,0
8,control,7,106.5,1,0
9,treatment,10,142.99,1,0
10,treatment,4,169.75,0,0
11,treatment,6,231.71,1,0
12,treatment,2,72.97,1,0
13,control,4,249.09,1,1
14,control,4,72.39,1,1
15,treatment,3,187.74,1,0
16,control,5,30.47,0,1
17,control,1,170.38,0,0
18,control,3,64.58,0,0
19,control,8,81.66,1,0
20,control,2,44.59,1,0
21,treatment,7,86.16,1,1
22,control,7,345.82,0,1
23,control,5,160.71,0,0
24,treatment,13,104.18,1,0
25,control,3,65.77,1,0
26,treatment,3,111.36,0,0
27,control,2,147.85,0,0
28,control,5,12.7,1,0
29,control,6,154.67,0,1
30,treatment,5,182.19,1,0
31,treatment,5,60.21,1,0
32,treatment,6,239.28,0,0
33,treatment,6,68.72,1,0
34,control,8,55.15,0,1
35,control,2,286.15,1,1
36,treatment,8,82.97,0,0
37,control,4,52.06,0,1
38,control,7,139.37,0,0
39,control,3,45.37,0,0
40,control,4,100.31,1,1
41,control,1,118.51,0,0
42,treatment,5,134.89,1,0
43,control,6,69.38,0,1
44,control,5,193.76,0,1
45,control,3,101.87,0,1
46,control,4,10.43,1,0
47,control,2,60.12,0,1
48,control,7,235.31,1,1
49,control,2,55.88,0,0
50,control,9,220.63,0,1
51,treatment,4,268.43,0,0
52,treatment,5,99.51,0,0
53,treatment,5,160.01,1,1
54,treatment,4,128.66,1,0
55,control,3,114.0,0,0
56,control,6,22.28,1,0
57,treatment,9,87.09,1,0
58,treatment,9,82.76,1,0
59,control,3,96.69,0,1
60,treatment,5,58.16,1,0
61,control,4,75.85,0,0
62,treatment,8,94.3,1,0
63,control,4,101.49,0,1
64,treatment,8,106.82,1,0
65,treatment,6,43.27,1,1
66,control,5,8.11,0,0
67,treatment,3,72.7,1,0
68,control,9,292.35,0,0
